task_id,task_name,revenue,location,day,time,power,required,continuous,remote,exceptO,tag
0,执行单点采样1,5.0,"101,102,103,104,105",1.0,20,133.33333333333334,False,False,False,False,None
1,执行单点采样2,10.0,"201,202,203,204,205,206",2.0,20,133.33333333333334,True,False,True,False,None
2,执行单点采样3,7.0,"301,302,303,304,305,306",3.0,30,200.0,False,False,False,False,None
3,执行单点采样4,6.0,"401,402,403,404,405",None,30,200.0,False,False,False,False,None
4,执行单点采样5,5.0,"501,502,503,504,505",None,30,200.0,False,False,False,False,None
5,执行单点采样6,6.0,"601,602,603,604,605,606",None,30,200.0,False,False,False,False,None
6,执行单点采样7,7.0,"701,702,703,704,705",None,30,200.0,False,False,False,False,None
7,执行单点采样8,7.5,"801,802,803,804,805",None,30,200.0,False,False,False,False,None
8,执行单点采样9,10.0,"901,902,903,904,905,906",None,30,200.0,False,False,True,False,None
9,执行单点采样10,5.0,"1001,1002,1003,1004,1005,1006",None,30,200.0,False,False,False,False,None
10,执行单点采样11,10.0,"1101,1102,1103,1104,1105",None,30,200.0,False,False,True,False,None
11,执行单点采样12,5.0,"1201,1202,1203,1204,1205,1206",None,30,200.0,False,False,False,False,None
12,执行单点采样13,6.0,"1301,1302,1303,1304,1305",None,30,200.0,False,False,False,False,None
13,执行单点采样14,8.0,"1401,1402,1403,1404,1405",None,30,200.0,False,False,False,False,None
14,执行单点采样15,7.5,"1501,1502,1503,1504,1505",None,30,200.0,False,False,False,False,None
15,执行多点连续采样Ⅰ1,3.0,"10101,10102,10103,10104,10105,10106",None,20,133.3,False,True,False,False,None
16,执行多点连续采样Ⅰ2,3.0,"10201,10202,10203,10204,10205,10206",None,20,133.3,False,True,False,False,None
17,执行多点连续采样Ⅰ3,0.0,"10301,10302,10303,10304,10305,10306",None,20,133.3,False,True,False,False,None
18,放置探测作业设备Ⅰ,10.0,None,None,15,100.0,True,False,False,True,None
19,放置探测作业设备Ⅲ,10.0,None,None,15,100.0,True,False,False,True,None
20,放置探测作业设备Ⅱ,10.0,0,None,10,100.0,True,False,False,False,12s
21,回收探测作业设备Ⅱ,3.0,0,None,10,60.0,True,False,False,False,12e
22,开启探测作业设备Ⅱ,3.0,0,None,10,60.0,True,False,False,False,23s
23,回收探测作业设备Ⅱ成果,10.0,0,None,10,60.0,True,False,False,False,23e
