point_name,point_id,X,Y,comment
探测起点,0,0.0,0.0,探测起点设为坐标原点
单点采样点1-1,101,1584.5459329037,-1149.00188884471,单点采样区域1
单点采样点1-2,102,1443.68888277564,-1274.34857882335,
单点采样点1-3,103,1472.59720489073,-993.479894333495,
单点采样点1-4,104,1738.14204835561,-1040.34731188715,
单点采样点1-5,105,1674.80962956602,-1315.40483589044,
单点采样点2-1,201,-144.011043572857,8959.97990047684,单点采样区域2
单点采样点2-2,202,-213.106026373388,8850.35391632073,
单点采样点2-3,203,-310.457491828657,8885.72386554426,
单点采样点2-4,204,-239.937557649604,9060.54736351758,
单点采样点2-5,205,-327.162772883102,9018.68150112581,
单点采样点2-6,206,27.1043943061545,8856.28367191928,
单点采样点3-1,301,2815.52201525014,4989.81484176304,单点采样区域3
单点采样点3-2,302,2733.32960701309,5166.72418341425,
单点采样点3-3,303,2635.40209738353,4887.90647921509,
单点采样点3-4,304,2841.41368497883,4790.58697275848,
单点采样点3-5,305,2984.27264020311,4984.51083926786,
单点采样点3-6,306,2629.24752015292,5025.09539768606,
单点采样点4-1,401,1044.30745176162,7208.377773092,单点采样区域4
单点采样点4-2,402,1236.58493351718,7173.18661046945,
单点采样点4-3,403,933.343152924423,7047.85720319557,
单点采样点4-4,404,913.575742311878,7276.37627699095,
单点采样点4-5,405,1072.77616121736,7408.3207885004,
单点采样点5-1,501,7867.12624264203,-2556.17162947757,单点采样区域5
单点采样点5-2,502,7697.76925540036,-2665.88700693418,
单点采样点5-3,503,7979.57612908663,-2711.74577008076,
单点采样点5-4,504,7731.69522545466,-2449.01885996809,
单点采样点5-5,505,8021.29385455107,-2431.52757084073,
单点采样点6-1,601,-2173.14180657177,2822.20609170804,单点采样区域6
单点采样点6-2,602,-2020.59469787933,2708.71861494882,
单点采样点6-3,603,-2301.78884247288,2700.30253368623,
单点采样点6-4,604,-2318.41014235034,2899.83046620274,
单点采样点6-5,605,-2020.21572144892,2874.0026558502,
单点采样点6-6,606,-2224.27724792363,2996.93006514018,
单点采样点7-1,701,-4330.70010232332,-1742.66279733677,单点采样区域7
单点采样点7-2,702,-4396.58591271074,-1877.07724573849,
单点采样点7-3,703,-4449.75751862815,-1662.2302812963,
单点采样点7-4,704,-4284.54774626021,-1572.01456245121,
单点采样点7-5,705,-4178.57289951578,-1847.41088706333,
单点采样点8-1,801,-1565.35456646539,10423.8249936145,单点采样区域8
单点采样点8-2,802,-1743.76423949667,10422.0395114262,
单点采样点8-3,803,-1655.03312351909,10586.8318891749,
单点采样点8-4,804,-1497.32860037991,10602.3145108405,
单点采样点8-5,805,-1402.78156050998,10472.5771199199,
单点采样点8-6,806,-1397.23486147386,10435.2184677384,
单点采样点9-1,901,9882.73512660236,3449.50867894765,单点采样区域9
单点采样点9-2,902,10020.2302010206,3321.94592905009,
单点采样点9-3,903,9807.54438371324,3267.42972272962,
单点采样点9-4,904,9709.36765918302,3531.47458806903,
单点采样点9-5,905,9926.25101943405,3634.96163630346,
单点采样点9-6,906,10066.7315185808,3487.97253030078,
单点采样点10-1,1001,5032.50381529698,2526.34406488387,单点采样区域10
单点采样点10-2,1002,4873.36948988094,2426.84246796253,
单点采样点10-3,1003,4895.107881113,2647.11203001191,
单点采样点10-4,1004,5055.66412609608,2704.47720081868,
单点采样点10-5,1005,5158.47800622936,2592.00999959564,
单点采样点10-6,1006,5116.38009160983,2407.35562239075,
单点采样点11-1,1101,-8263.92972438549,-329.891076540437,单点采样区域11
单点采样点11-2,1102,-8184.24128921973,-483.813228950727,
单点采样点11-3,1103,-8374.30767088949,-479.739576247835,
单点采样点11-4,1104,-8436.9394380545,-280.635665953284,
单点采样点11-5,1105,-8233.05951708521,-164.575450006228,
单点采样点11-6,1106,-8094.35808489362,-286.722157805326,
单点采样点12-1,1201,-1451.17654749797,-2543.44798304252,单点采样区域12
单点采样点12-2,1202,-1435.57575535244,-2734.13223634245,
单点采样点12-3,1203,-1614.86010598514,-2623.0407980138,
单点采样点12-4,1204,-1526.28118694207,-2379.54834638789,
单点采样点12-5,1205,-1275.88327344959,-2483.73653607578,
单点采样点12-6,1206,-1294.20329727896,-2652.54297099377,
单点采样点13-1,1301,2314.63644664651,-5578.43992766132,单点采样区域13
单点采样点13-2,1302,2443.99444233112,-5705.10576477739,
单点采样点13-3,1303,2238.12504669249,-5730.88381285934,
单点采样点13-4,1304,2136.55026789627,-5538.32855778031,
单点采样点13-5,1305,2396.26736340417,-5435.30665268605,
单点采样点14-1,1401,-3527.14879730112,-5678.14325546409,单点采样区域14
单点采样点14-2,1402,-3452.84304017238,-5837.28299684577,
单点采样点14-3,1403,-3653.0699315332,-5811.36579319274,
单点采样点14-4,1404,-3653.51045373601,-5566.78900083202,
单点采样点14-5,1405,-3417.86503154712,-5537.79487977646,
连续采样点1-1,10101,-4629.30321140733,-3341.7599541016,多点连续采样区域1
连续采样点1-2,10102,-4512.99443535729,-3488.70525738705,
连续采样点1-3,10103,-4756.07719419853,-3471.26581637393,
连续采样点1-4,10104,-4798.08688310502,-3307.94902403847,
连续采样点1-5,10105,-4651.7819709939,-3167.2055299627,
连续采样点1-6,10106,-4494.05289018198,-3232.87146467447,
连续采样点2-1,10201,-5839.78424839476,-3814.71010917793,多点连续采样区域2
连续采样点2-2,10202,-5689.13838865863,-3935.9631819499,
连续采样点2-3,10203,-5942.52506187223,-3976.29386339477,
连续采样点2-4,10204,-6015.76362137284,-3748.96223060741,
连续采样点2-5,10205,-5819.1354901956,-3647.86913495986,
连续采样点3-1,10301,-5774.41839366992,-5021.28128353221,多点连续采样区域3
连续采样点3-2,10302,-5679.70975825008,-5172.49124320591,
连续采样点3-3,10303,-5876.3427403256,-5178.13821799729,
连续采样点3-4,10304,-5950.37836305471,-4988.49301282659,
连续采样点3-5,10305,-5847.75942839728,-4855.95224800293,
连续采样点3-6,10306,-5686.15478301695,-4879.71090142699,
连续采样点4-1,10401,-3894.3314812403,-4103.56966079778,多点连续采样区域4
连续采样点4-2,10402,-4036.59802050848,-4219.70943678226,
连续采样点4-3,10403,-4044.14086419913,-3977.73100968883,
连续采样点4-4,10404,-3766.87776632343,-3966.98206126137,
连续采样点4-5,10405,-3767.98225523234,-4210.0892277622,
